"Manufacturer","Model","AcqOffset","AssetTag","SerialNumber"
"Vendor2","4800","-843","9418742","211-794336"
"Vendor1","4200","-218","1216511","505-469749"
"Vendor2","4500","-679","4227534","673-891697"
"Vendor3","2500","-1321","7225022","354-627957"
"Vendor3","7800","-133","6707042","237-331871"
"Vendor1","4100","-568","1394754","131-141092"
"Vendor3","8200","-976","8688908","903-518271"
"Vendor1","2800","-491","3660049","245-884038"
"Vendor2","3700","-1197","5676257","349-853456"
"Vendor3","3500","-821","5569378","575-357648"
"Vendor1","3100","-946","5653106","924-705724"
"Vendor1","9700","-918","5715236","359-782438"
"Vendor2","2700","-647","1050303","239-804708"
"Vendor2","9500","-920","1989261","513-552936"
"Vendor1","1300","-599","2036841","919-985751"
"Vendor1","1100","-1130","5024767","212-809827"
"Vendor1","9100","-691","1236267","155-451752"
"Vendor2","2300","-742","6439708","246-146123"
"Vendor1","2800","-1253","4511307","312-214265"
"Vendor1","5600","-1540","5187720","177-284753"
"Vendor2","8300","-192","4176169","394-897062"
"Vendor2","4100","-1808","3620665","423-531815"
"Vendor2","7800","-1136","4970535","116-534134"
"Vendor1","4500","-350","6350316","336-447138"
"Vendor3","8700","-1299","1779424","256-166209"
"Vendor1","3100","-1037","4194755","601-639187"
"Vendor2","2200","-1852","9679993","425-929553"
"Vendor3","2100","-807","5051602","171-994297"
"Vendor2","9100","-1158","7229070","834-323481"
"Vendor2","7500","-1114","8787303","706-826688"
"Vendor1","6000","-478","1017869","378-762756"
"Vendor1","9700","-1789","4801275","548-293045"
"Vendor2","8900","-339","2957540","548-447703"
"Vendor1","8500","-1213","3153685","127-419867"
"Vendor3","5500","-879","6530478","431-232929"
"Vendor3","5600","-736","4278914","336-931377"
"Vendor1","9300","-72","9831812","611-685408"
"Vendor2","6700","-622","1610447","711-603541"
"Vendor1","9000","-696","9644213","171-264931"
"Vendor2","1900","-661","9737836","381-674038"
"Vendor2","1300","-1859","7550440","306-154337"
"Vendor1","3600","-1982","7507913","152-337666"
"Vendor3","8900","-640","9125453","289-928863"
"Vendor1","1400","-1924","9430632","349-669206"
"Vendor1","1400","-401","5044253","515-525670"
"Vendor1","4600","-1409","4949273","601-545874"
"Vendor1","9400","-361","2150892","137-872598"
"Vendor3","9200","-1334","6393798","468-205556"
"Vendor1","1400","-1048","5683200","942-708494"
"Vendor1","6900","-746","4041287","966-148451"
"Vendor2","6900","-1908","5342404","127-519898"
"Vendor3","2000","-1018","5121820","871-804540"
"Vendor2","4400","-1363","4190784","551-326867"
"Vendor3","7600","-1600","4667714","281-715881"
"Vendor3","2000","-31","6748677","226-570861"
"Vendor2","4600","-1596","1911234","401-969861"
"Vendor1","7800","-763","1933764","617-802474"
"Vendor1","3700","-968","8132406","180-319346"
"Vendor3","9700","-1655","7779128","381-960685"
"Vendor3","6800","-896","5499374","287-699164"
"Vendor3","1700","-675","9005878","925-680737"
"Vendor2","6500","-1588","7098127","924-868430"
"Vendor3","2600","-822","5991828","877-189781"
"Vendor1","2700","-165","2365406","499-714839"
"Vendor1","4500","-1984","3511467","719-736343"
"Vendor3","7200","-280","2573349","328-950747"
"Vendor1","2100","-1517","6318355","337-632273"
"Vendor2","1000","-1828","6571416","218-938509"
"Vendor3","3300","-1800","9942244","366-418263"
"Vendor1","9500","-249","7231014","979-935430"
"Vendor2","9000","-12","3135386","995-728589"
"Vendor1","4000","-1705","4254467","263-177709"
"Vendor3","9300","-701","7655082","219-203114"
"Vendor1","2100","-456","6911777","854-843760"
"Vendor1","4300","-1996","6938719","330-612345"
"Vendor3","1700","-1639","2203502","905-330331"
"Vendor3","8400","-1569","7273655","323-935126"
"Vendor2","8800","-1365","4101290","862-322759"
"Vendor3","7400","-1625","8338492","880-718758"
"Vendor1","7300","-1980","1403299","580-568320"
"Vendor1","2700","-256","3562977","561-532023"
"Vendor2","6200","-794","9035046","317-243331"
"Vendor2","4600","-1337","3689983","332-349947"
"Vendor2","5100","-1879","3079809","580-445872"
"Vendor1","5400","-1528","8860620","718-468013"
"Vendor2","6100","-493","3735787","348-788814"
"Vendor2","6500","-880","9528163","500-484791"
"Vendor3","4500","-1216","8393140","623-207885"
"Vendor3","3200","-1314","2824098","221-538772"
"Vendor1","5900","-150","8086220","338-836192"
"Vendor1","1300","-810","8730708","332-500253"
"Vendor3","4800","-995","7514239","459-749527"
"Vendor2","3500","-984","9146163","887-287370"
"Vendor1","6900","-1367","4734111","178-894236"
"Vendor2","8900","-1191","2935887","519-421934"
"Vendor1","6600","-44","3506591","614-550616"
"Vendor2","3900","-156","2681449","892-226907"
"Vendor2","3100","-42","9766185","914-403747"
"Vendor2","7400","-775","5536158","801-195663"
"Vendor1","2800","-1787","5773872","692-428604"
"Vendor1","1400","-1661","1370712","955-282466"
"Vendor3","3400","-298","7411224","590-674019"
"Vendor3","8900","-1965","5471178","283-113774"
"Vendor2","5000","-1574","5526880","161-327321"
"Vendor2","6400","-1957","1502380","251-387471"
"Vendor2","7800","-1310","2060699","601-335437"
"Vendor1","2700","-1422","7994424","507-267567"
"Vendor3","9000","-1524","2297233","945-718489"
"Vendor2","2200","-1673","9539219","973-217826"
"Vendor2","6000","-1384","5258868","321-419684"
"Vendor3","9100","-1494","2118896","722-322494"
"Vendor1","5900","-1065","1830040","247-343977"
"Vendor3","8600","-460","7202645","191-299863"
"Vendor3","4800","-1639","7634382","186-169416"
"Vendor1","1400","-1079","4254501","928-630786"
"Vendor3","4200","-1480","5204128","180-811005"
"Vendor2","1100","-1092","5621899","730-153278"
"Vendor1","8700","-909","9635682","258-473349"
"Vendor2","7500","-1948","3747653","367-354797"
"Vendor3","9300","-1066","2677789","237-408598"
"Vendor2","7400","-1901","1338647","507-982422"
"Vendor1","6000","-1495","9792059","456-865317"
"Vendor2","3100","-354","5245034","771-545828"
"Vendor1","1300","-824","7686612","553-382113"
"Vendor3","8000","-1795","1005164","690-632542"
"Vendor3","7200","-295","9856503","966-210564"
"Vendor2","2100","-1412","5809559","548-248116"
"Vendor3","2500","-802","1530950","760-772030"
