"ServerName","DateRun","Risk","Count"
"Server16","10/23/2020","none","84"
"Server16","10/23/2020","low","7"
"Server16","10/23/2020","medium","28"
"Server16","10/23/2020","high","14"
"Server16","10/23/2020","critical","7"
"Server16","10/23/2020","total","140"
"Server17","10/23/2020","none","109"
"Server17","10/23/2020","low","9"
"Server17","10/23/2020","medium","36"
"Server17","10/23/2020","high","18"
"Server17","10/23/2020","critical","9"
"Server17","10/23/2020","total","181"
"Server18","10/23/2020","none","44"
"Server18","10/23/2020","low","4"
"Server18","10/23/2020","medium","15"
"Server18","10/23/2020","high","7"
"Server18","10/23/2020","critical","4"
"Server18","10/23/2020","total","73"
"Server19","10/23/2020","none","64"
"Server19","10/23/2020","low","5"
"Server19","10/23/2020","medium","21"
"Server19","10/23/2020","high","11"
"Server19","10/23/2020","critical","5"
"Server19","10/23/2020","total","106"
"Server20","10/23/2020","none","46"
"Server20","10/23/2020","low","4"
"Server20","10/23/2020","medium","15"
"Server20","10/23/2020","high","8"
"Server20","10/23/2020","critical","4"
"Server20","10/23/2020","total","77"
"Server21","10/23/2020","none","65"
"Server21","10/23/2020","low","5"
"Server21","10/23/2020","medium","22"
"Server21","10/23/2020","high","11"
"Server21","10/23/2020","critical","5"
"Server21","10/23/2020","total","108"
"Server22","10/23/2020","none","46"
"Server22","10/23/2020","low","4"
"Server22","10/23/2020","medium","15"
"Server22","10/23/2020","high","8"
"Server22","10/23/2020","critical","4"
"Server22","10/23/2020","total","76"
"Server23","10/23/2020","none","94"
"Server23","10/23/2020","low","8"
"Server23","10/23/2020","medium","31"
"Server23","10/23/2020","high","16"
"Server23","10/23/2020","critical","8"
"Server23","10/23/2020","total","156"
"Server24","10/23/2020","none","76"
"Server24","10/23/2020","low","6"
"Server24","10/23/2020","medium","25"
"Server24","10/23/2020","high","13"
"Server24","10/23/2020","critical","6"
"Server24","10/23/2020","total","126"
"Server25","10/23/2020","none","94"
"Server25","10/23/2020","low","8"
"Server25","10/23/2020","medium","31"
"Server25","10/23/2020","high","16"
"Server25","10/23/2020","critical","8"
"Server25","10/23/2020","total","156"
"Server26","10/23/2020","none","46"
"Server26","10/23/2020","low","4"
"Server26","10/23/2020","medium","15"
"Server26","10/23/2020","high","8"
"Server26","10/23/2020","critical","4"
"Server26","10/23/2020","total","77"
"Server27","10/23/2020","none","96"
"Server27","10/23/2020","low","8"
"Server27","10/23/2020","medium","32"
"Server27","10/23/2020","high","16"
"Server27","10/23/2020","critical","8"
"Server27","10/23/2020","total","160"
"Server28","10/23/2020","none","64"
"Server28","10/23/2020","low","5"
"Server28","10/23/2020","medium","21"
"Server28","10/23/2020","high","11"
"Server28","10/23/2020","critical","5"
"Server28","10/23/2020","total","107"
"Server29","10/23/2020","none","33"
"Server29","10/23/2020","low","3"
"Server29","10/23/2020","medium","11"
"Server29","10/23/2020","high","6"
"Server29","10/23/2020","critical","3"
"Server29","10/23/2020","total","55"
"Server30","10/23/2020","none","38"
"Server30","10/23/2020","low","3"
"Server30","10/23/2020","medium","13"
"Server30","10/23/2020","high","6"
"Server30","10/23/2020","critical","3"
"Server30","10/23/2020","total","63"
"Server31","10/23/2020","none","107"
"Server31","10/23/2020","low","9"
"Server31","10/23/2020","medium","36"
"Server31","10/23/2020","high","18"
"Server31","10/23/2020","critical","9"
"Server31","10/23/2020","total","179"
"Server32","10/23/2020","none","95"
"Server32","10/23/2020","low","8"
"Server32","10/23/2020","medium","32"
"Server32","10/23/2020","high","16"
"Server32","10/23/2020","critical","8"
"Server32","10/23/2020","total","159"
"Server33","10/23/2020","none","53"
"Server33","10/23/2020","low","4"
"Server33","10/23/2020","medium","18"
"Server33","10/23/2020","high","9"
"Server33","10/23/2020","critical","4"
"Server33","10/23/2020","total","88"
"Server34","10/23/2020","none","53"
"Server34","10/23/2020","low","4"
"Server34","10/23/2020","medium","18"
"Server34","10/23/2020","high","9"
"Server34","10/23/2020","critical","4"
"Server34","10/23/2020","total","88"
"Server35","10/23/2020","none","32"
"Server35","10/23/2020","low","3"
"Server35","10/23/2020","medium","11"
"Server35","10/23/2020","high","5"
"Server35","10/23/2020","critical","3"
"Server35","10/23/2020","total","54"
"Server36","10/23/2020","none","77"
"Server36","10/23/2020","low","6"
"Server36","10/23/2020","medium","26"
"Server36","10/23/2020","high","13"
"Server36","10/23/2020","critical","6"
"Server36","10/23/2020","total","128"
"Server37","10/23/2020","none","101"
"Server37","10/23/2020","low","8"
"Server37","10/23/2020","medium","34"
"Server37","10/23/2020","high","17"
"Server37","10/23/2020","critical","8"
"Server37","10/23/2020","total","169"
"Server38","10/23/2020","none","98"
"Server38","10/23/2020","low","8"
"Server38","10/23/2020","medium","33"
"Server38","10/23/2020","high","16"
"Server38","10/23/2020","critical","8"
"Server38","10/23/2020","total","163"
"Server39","10/23/2020","none","102"
"Server39","10/23/2020","low","8"
"Server39","10/23/2020","medium","34"
"Server39","10/23/2020","high","17"
"Server39","10/23/2020","critical","8"
"Server39","10/23/2020","total","170"
"Server40","10/23/2020","none","31"
"Server40","10/23/2020","low","3"
"Server40","10/23/2020","medium","10"
"Server40","10/23/2020","high","5"
"Server40","10/23/2020","critical","3"
"Server40","10/23/2020","total","52"
"Server41","10/23/2020","none","86"
"Server41","10/23/2020","low","7"
"Server41","10/23/2020","medium","29"
"Server41","10/23/2020","high","14"
"Server41","10/23/2020","critical","7"
"Server41","10/23/2020","total","143"
"Server42","10/23/2020","none","73"
"Server42","10/23/2020","low","6"
"Server42","10/23/2020","medium","24"
"Server42","10/23/2020","high","12"
"Server42","10/23/2020","critical","6"
"Server42","10/23/2020","total","122"
"Server43","10/23/2020","none","43"
"Server43","10/23/2020","low","4"
"Server43","10/23/2020","medium","14"
"Server43","10/23/2020","high","7"
"Server43","10/23/2020","critical","4"
"Server43","10/23/2020","total","71"
"Server44","10/23/2020","none","71"
"Server44","10/23/2020","low","6"
"Server44","10/23/2020","medium","24"
"Server44","10/23/2020","high","12"
"Server44","10/23/2020","critical","6"
"Server44","10/23/2020","total","119"
"Server45","10/23/2020","none","68"
"Server45","10/23/2020","low","6"
"Server45","10/23/2020","medium","23"
"Server45","10/23/2020","high","11"
"Server45","10/23/2020","critical","6"
"Server45","10/23/2020","total","114"
"Server46","10/23/2020","none","44"
"Server46","10/23/2020","low","4"
"Server46","10/23/2020","medium","15"
"Server46","10/23/2020","high","7"
"Server46","10/23/2020","critical","4"
"Server46","10/23/2020","total","74"
"Server47","10/23/2020","none","118"
"Server47","10/23/2020","low","10"
"Server47","10/23/2020","medium","39"
"Server47","10/23/2020","high","20"
"Server47","10/23/2020","critical","10"
"Server47","10/23/2020","total","197"
"Server48","10/23/2020","none","73"
"Server48","10/23/2020","low","6"
"Server48","10/23/2020","medium","24"
"Server48","10/23/2020","high","12"
"Server48","10/23/2020","critical","6"
"Server48","10/23/2020","total","121"
"Server49","10/23/2020","none","62"
"Server49","10/23/2020","low","5"
"Server49","10/23/2020","medium","21"
"Server49","10/23/2020","high","10"
"Server49","10/23/2020","critical","5"
"Server49","10/23/2020","total","103"
"Server0","10/24/2020","none","62"
"Server0","10/24/2020","low","5"
"Server0","10/24/2020","medium","21"
"Server0","10/24/2020","high","10"
"Server0","10/24/2020","critical","5"
"Server0","10/24/2020","total","104"
"Server1","10/24/2020","none","115"
"Server1","10/24/2020","low","10"
"Server1","10/24/2020","medium","38"
"Server1","10/24/2020","high","19"
"Server1","10/24/2020","critical","10"
"Server1","10/24/2020","total","192"
"Server2","10/24/2020","none","110"
"Server2","10/24/2020","low","9"
"Server2","10/24/2020","medium","37"
"Server2","10/24/2020","high","18"
"Server2","10/24/2020","critical","9"
"Server2","10/24/2020","total","183"
"Server3","10/24/2020","none","50"
"Server3","10/24/2020","low","4"
"Server3","10/24/2020","medium","17"
"Server3","10/24/2020","high","8"
"Server3","10/24/2020","critical","4"
"Server3","10/24/2020","total","83"
"Server4","10/24/2020","none","45"
"Server4","10/24/2020","low","4"
"Server4","10/24/2020","medium","15"
"Server4","10/24/2020","high","8"
"Server4","10/24/2020","critical","4"
"Server4","10/24/2020","total","75"
"Server5","10/24/2020","none","74"
"Server5","10/24/2020","low","6"
"Server5","10/24/2020","medium","25"
"Server5","10/24/2020","high","12"
"Server5","10/24/2020","critical","6"
"Server5","10/24/2020","total","123"
"Server6","10/24/2020","none","84"
"Server6","10/24/2020","low","7"
"Server6","10/24/2020","medium","28"
"Server6","10/24/2020","high","14"
"Server6","10/24/2020","critical","7"
"Server6","10/24/2020","total","140"
"Server7","10/24/2020","none","83"
"Server7","10/24/2020","low","7"
"Server7","10/24/2020","medium","28"
"Server7","10/24/2020","high","14"
"Server7","10/24/2020","critical","7"
"Server7","10/24/2020","total","139"
"Server8","10/24/2020","none","80"
"Server8","10/24/2020","low","7"
"Server8","10/24/2020","medium","27"
"Server8","10/24/2020","high","13"
"Server8","10/24/2020","critical","7"
"Server8","10/24/2020","total","134"
"Server9","10/24/2020","none","106"
"Server9","10/24/2020","low","9"
"Server9","10/24/2020","medium","35"
"Server9","10/24/2020","high","18"
"Server9","10/24/2020","critical","9"
"Server9","10/24/2020","total","177"
"Server10","10/24/2020","none","95"
"Server10","10/24/2020","low","8"
"Server10","10/24/2020","medium","32"
"Server10","10/24/2020","high","16"
"Server10","10/24/2020","critical","8"
"Server10","10/24/2020","total","159"
"Server11","10/24/2020","none","48"
"Server11","10/24/2020","low","4"
"Server11","10/24/2020","medium","16"
"Server11","10/24/2020","high","8"
"Server11","10/24/2020","critical","4"
"Server11","10/24/2020","total","80"
"Server12","10/24/2020","none","38"
"Server12","10/24/2020","low","3"
"Server12","10/24/2020","medium","13"
"Server12","10/24/2020","high","6"
"Server12","10/24/2020","critical","3"
"Server12","10/24/2020","total","64"
"Server13","10/24/2020","none","56"
"Server13","10/24/2020","low","5"
"Server13","10/24/2020","medium","19"
"Server13","10/24/2020","high","9"
"Server13","10/24/2020","critical","5"
"Server13","10/24/2020","total","94"
"Server14","10/24/2020","none","34"
"Server14","10/24/2020","low","3"
"Server14","10/24/2020","medium","11"
"Server14","10/24/2020","high","6"
"Server14","10/24/2020","critical","3"
"Server14","10/24/2020","total","57"
"Server15","10/24/2020","none","105"
"Server15","10/24/2020","low","9"
"Server15","10/24/2020","medium","35"
"Server15","10/24/2020","high","18"
"Server15","10/24/2020","critical","9"
"Server15","10/24/2020","total","175"
"Server16","10/24/2020","none","84"
"Server16","10/24/2020","low","7"
"Server16","10/24/2020","medium","28"
"Server16","10/24/2020","high","14"
"Server16","10/24/2020","critical","7"
"Server16","10/24/2020","total","140"
"Server17","10/24/2020","none","101"
"Server17","10/24/2020","low","8"
"Server17","10/24/2020","medium","34"
"Server17","10/24/2020","high","17"
"Server17","10/24/2020","critical","8"
"Server17","10/24/2020","total","168"
"Server18","10/24/2020","none","44"
"Server18","10/24/2020","low","4"
"Server18","10/24/2020","medium","15"
"Server18","10/24/2020","high","7"
"Server18","10/24/2020","critical","4"
"Server18","10/24/2020","total","74"
"Server19","10/24/2020","none","56"
"Server19","10/24/2020","low","5"
"Server19","10/24/2020","medium","19"
"Server19","10/24/2020","high","9"
"Server19","10/24/2020","critical","5"
"Server19","10/24/2020","total","93"
"Server20","10/24/2020","none","46"
"Server20","10/24/2020","low","4"
"Server20","10/24/2020","medium","15"
"Server20","10/24/2020","high","8"
"Server20","10/24/2020","critical","4"
"Server20","10/24/2020","total","77"
"Server21","10/24/2020","none","65"
"Server21","10/24/2020","low","5"
"Server21","10/24/2020","medium","22"
"Server21","10/24/2020","high","11"
"Server21","10/24/2020","critical","5"
"Server21","10/24/2020","total","108"
"Server22","10/24/2020","none","46"
"Server22","10/24/2020","low","4"
"Server22","10/24/2020","medium","15"
"Server22","10/24/2020","high","8"
"Server22","10/24/2020","critical","4"
"Server22","10/24/2020","total","77"
"Server23","10/24/2020","none","83"
"Server23","10/24/2020","low","7"
"Server23","10/24/2020","medium","28"
"Server23","10/24/2020","high","14"
"Server23","10/24/2020","critical","7"
"Server23","10/24/2020","total","138"
"Server24","10/24/2020","none","73"
"Server24","10/24/2020","low","6"
"Server24","10/24/2020","medium","24"
"Server24","10/24/2020","high","12"
"Server24","10/24/2020","critical","6"
"Server24","10/24/2020","total","121"
"Server25","10/24/2020","none","94"
"Server25","10/24/2020","low","8"
"Server25","10/24/2020","medium","31"
"Server25","10/24/2020","high","16"
"Server25","10/24/2020","critical","8"
"Server25","10/24/2020","total","157"
"Server26","10/24/2020","none","38"
"Server26","10/24/2020","low","3"
"Server26","10/24/2020","medium","13"
"Server26","10/24/2020","high","6"
"Server26","10/24/2020","critical","3"
"Server26","10/24/2020","total","64"
"Server27","10/24/2020","none","87"
"Server27","10/24/2020","low","7"
"Server27","10/24/2020","medium","29"
"Server27","10/24/2020","high","14"
"Server27","10/24/2020","critical","7"
"Server27","10/24/2020","total","145"
"Server28","10/24/2020","none","60"
"Server28","10/24/2020","low","5"
"Server28","10/24/2020","medium","20"
"Server28","10/24/2020","high","10"
"Server28","10/24/2020","critical","5"
"Server28","10/24/2020","total","100"
"Server29","10/24/2020","none","30"
"Server29","10/24/2020","low","2"
"Server29","10/24/2020","medium","10"
"Server29","10/24/2020","high","5"
"Server29","10/24/2020","critical","2"
"Server29","10/24/2020","total","50"
"Server30","10/24/2020","none","38"
"Server30","10/24/2020","low","3"
"Server30","10/24/2020","medium","13"
"Server30","10/24/2020","high","6"
"Server30","10/24/2020","critical","3"
"Server30","10/24/2020","total","63"
"Server31","10/24/2020","none","107"
"Server31","10/24/2020","low","9"
"Server31","10/24/2020","medium","36"
"Server31","10/24/2020","high","18"
"Server31","10/24/2020","critical","9"
"Server31","10/24/2020","total","179"
"Server32","10/24/2020","none","95"
"Server32","10/24/2020","low","8"
"Server32","10/24/2020","medium","32"
"Server32","10/24/2020","high","16"
"Server32","10/24/2020","critical","8"
"Server32","10/24/2020","total","159"
"Server33","10/24/2020","none","53"
"Server33","10/24/2020","low","4"
"Server33","10/24/2020","medium","18"
"Server33","10/24/2020","high","9"
"Server33","10/24/2020","critical","4"
"Server33","10/24/2020","total","88"
"Server34","10/24/2020","none","43"
